nome_orgao_superior,orcamento_atualizado_(r$),orcamento_empenhado_(r$),orcamento_realizado_(r$),percentual_execucao
Advocacia-Geral da União,5045330398.0,4885263110.85,3767385503.51,74.67073920477864
Banco Central do Brasil - Orçamento Fiscal e Seguridade Social,4677844988.0,3734009878.87,3606010283.27,77.08699823359773
Controladoria-Geral da União,1531209242.0,1523724690.6599998,1115192463.8600001,72.83083417151947
Ministério da Agricultura e Pecuária,20675153791.84,17693728392.18,14001837346.35,67.72301423884063
"Ministério da Ciência, Tecnologia e Inovação",22620877479.0,19042474011.53,15983632876.59,70.6587659626747
Ministério da Cultura,5770338300.0,4057415272.03,3126859110.64,54.188488578563934
Ministério da Defesa,133997157724.83,122180407114.43001,96691598219.3,72.15943969338599
Ministério da Educação,235268353689.0,216019087612.34,165086168489.76,70.16930492402159
Ministério da Fazenda,3213590707598.0,2708328429740.24,2499623435659.0703,77.78288099194235
Ministério da Gestão e da Inovação em Serviços Públicos,30581201391.0,26532039251.690002,23364930207.49,76.40291795196204
Ministério da Igualdade Racial,202724730.0,146217395.36,91695618.53,45.231589915053775
Ministério da Integração e do Desenvolvimento Regional,44369128854.99,36354780735.9,27815969193.69,62.69216888300853
Ministério da Justiça e Segurança Pública,23044979584.0,19468363992.82,14827814748.9,64.34292855349226
Ministério da Pesca e Aquicultura,280332925.0,181495787.7,124904626.22,44.555817416024176
Ministério da Previdência Social,1052582659247.0,881774095712.3099,846725864940.37,80.44269564027432
Ministério da Saúde,248794598844.0,212078066481.97,189933421820.1,76.3414570503569
Ministério das Cidades,17786783764.0,11508063335.6,7931946130.26,44.59460594733298
Ministério das Comunicações,4008047384.0,3091181965.71,1401845590.95,34.97577390292649
Ministério das Mulheres,333453084.0,160095860.98000002,66393018.18,19.910752476351366
Ministério das Relações Exteriores,5276038455.66,4534787977.49,4237940222.65,80.32428607686977
Ministério de Minas e Energia,84007529425.0,56396616293.18,48524304698.65,57.7618518611137
Ministério de Portos e Aeroportos,17096451760.99,2750913946.7599998,2031791584.4,11.884288113139716
Ministério do Desenvolvimento Agrário e Agricultura Familiar,7398177741.0,5526087537.7699995,4240852468.5,57.32293298385625
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",291101022322.0,264169522627.0,241405616335.16,82.92846737863061
"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",3151460753.0,1632739841.81,1387191508.1,44.01741340993942
"Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte",253948564.0,119846503.93,58601204.43,23.07601331031744
Ministério do Esporte,3006580458.0,1569665253.01,262231636.56,8.721923135708746
Ministério do Meio Ambiente e Mudança do Clima,25953219465.0,22936313284.010002,14003227884.17,53.95564855857084
Ministério do Planejamento e Orçamento,11255978073.0,5197772250.0,4729983700.7,42.02196974819924
Ministério do Trabalho e Emprego,121927435697.0,106255335904.51,105891283740.65001,86.84779035605966
Ministério do Turismo,3497432150.0,1578396380.48,444530227.33,12.71018874033053
Ministério dos Direitos Humanos e Cidadania,574258768.0,378698627.22,229431367.12,39.95261020028518
Ministério dos Povos Indígenas,1258421539.0,939585742.51,683247909.39,54.29404124256649
Ministério dos Transportes,25291447622.0,14593948740.33,10309391425.52,40.762361963623945
Presidência da República,40162733750.0,26410368845.99,10713111922.52,26.674259748366858
